Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
George Gerken,1903,2,1927,1928,-0.5,0,44,129,17,29,0,11,3,13,0.225,0.301,0.31,0.611,60,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Freddie Fitzsimmons,1901,19,1925,1943,35.9,0,513,1155,112,231,14,103,0,36,0.2,0.233,0.279,0.511,36,217,146,3.51,112.0,1.297,513,424,13,3223.6666666666665,870,"LAD,SFG"
Paul McCullough,1898,1,1929,1929,-0.1,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,8.59,52.0,1.227,3,0,0,7.333333333333333,3,MIN
John Glaiser,1894,1,1920,1920,0.1,0,8,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,-5,0,0,4.91,78.0,1.636,8,1,1,14.666666666666666,2,DET
Bullet Rogan HOF,1893,13,1920,1938,61.3,1,681,2052,413,693,50,419,106,248,0.338,0.413,0.521,0.934,152,120,52,2.65,161.0,1.157,214,157,16,1500.0,918,KCM
Joe Mathes,1891,3,1912,1916,-0.3,0,32,99,10,27,0,6,1,9,0.273,0.339,0.303,0.642,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,OAK,SLI"
Elmer Miller,1890,7,1912,1922,-0.5,0,413,1414,170,343,16,154,31,113,0.243,0.307,0.335,0.642,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,NYY,STL"
George Daly,1887,1,1909,1909,-0.8,0,3,9,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-32,0,3,6.0,44.0,1.857,3,3,0,21.0,8,SFG
Hank Perry,1886,1,1912,1912,-0.2,0,13,36,3,6,0,0,0,3,0.167,0.231,0.194,0.425,23,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Willie Garoni,1877,1,1899,1899,-0.1,0,3,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,4.5,86.0,1.4,3,1,0,10.0,2,SFG
Duke Esper,1867,9,1890,1898,18.3,0,240,739,87,178,2,83,3,40,0.241,0.284,0.309,0.592,61,101,100,4.39,96.0,1.573,236,198,5,1727.6666666666667,453,"BLO,PHA,PHI,PIT,STL,WAS"
Bill Day,1867,2,1889,1890,-1.7,0,14,43,2,2,0,3,0,0,0.047,0.047,0.047,0.093,-73,1,10,4.66,78.0,1.802,14,11,0,92.66666666666667,39,"PHI,PIT"
Bob Wood,1865,7,1898,1905,7.2,0,383,1246,149,350,2,168,15,89,0.281,0.338,0.368,0.707,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,CLE,DET"
Ed Carfrey,1863,1,1890,1890,0.0,0,1,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,48,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHA
